"","Last Team","New Team","total_nil_valuation","avg_valuation","number_athletes","CurrentConference.x","address_last","lat_last","long_last","CurrentConference.y","address_new","lat_new","long_new"
"1","jackson state tigers","colorado buffaloes",7658000,957250,8,"SWAC","Jackson, Mississippi",32.2998686,-90.1830408,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"2","wake forest demon deacons","notre dame fighting irish",1100000,1100000,1,"ACC","Winston-Salem, NC",36.0998131,-80.2440518,"Independent","South Bend, IN",41.6833813,-86.2500066
"3","clemson tigers","oregon state beavers",902000,902000,1,"ACC","Clemson, SC",34.6850749,-82.8364111,"Pac-12","Corvallis, OR",44.5645659,-123.2620435
"4","michigan state spartans","florida state seminoles",819000,409500,2,"Big Ten","East Lansing, MI",42.7320307,-84.4721678,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"5","arizona wildcats","usc trojans",702000,234000,3,"Pac-12[n 3]","Tucson, AZ",32.2228765,-110.974847,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"6","wisconsin badgers","florida gators",686000,686000,1,"Big Ten","Madison, WI",43.074761,-89.3837613,"SEC","Gainesville, FL",29.6519684,-82.3249846
"7","alabama crimson tide","oregon ducks",628000,314000,2,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"8","south carolina gamecocks","florida state seminoles",597000,298500,2,"SEC","Columbia, SC",34.0003117,-81.0331309,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"9","rhode island rams","oregon ducks",580000,580000,1,"CAA","Kingston, Rhode Island",41.4801166,-71.5227103,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"10","stanford cardinal","oklahoma sooners",524000,524000,1,"Pac-12[n 6]","Stanford[n 25], CA",37.427467,-122.1702445,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"11","northwestern wildcats","virginia cavaliers",521000,521000,1,"Big Ten","Evanston, IL",42.0470043,-87.6846053,"ACC","Charlottesville, VA",38.029306,-78.4766781
"12","georgia bulldogs","texas longhorns",488000,488000,1,"SEC","Athens, GA",33.9597677,-83.376398,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995
"13","louisiana tech bulldogs","ole miss rebels",474000,474000,1,"C-USA","Ruston, LA",32.5232053,-92.637927,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"14","florida gators","virginia tech hokies",463000,463000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"ACC","Blacksburg, VA",37.2296566,-80.4136767
"15","nc state wolfpack","kentucky wildcats",456000,228000,2,"ACC","Raleigh, NC",35.7803977,-78.6390989,"SEC","Lexington, KY",38.0464066,-84.4970393
"16","georgia bulldogs","usc trojans",446000,446000,1,"SEC","Athens, GA",33.9597677,-83.376398,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"17","oregon ducks","arizona wildcats",446000,446000,1,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506,"Pac-12[n 3]","Tucson, AZ",32.2228765,-110.974847
"18","south carolina gamecocks","usc trojans",410000,410000,1,"SEC","Columbia, SC",34.0003117,-81.0331309,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"19","vanderbilt commodores","kentucky wildcats",400000,400000,1,"SEC","Nashville, TN",36.1622767,-86.7742984,"SEC","Lexington, KY",38.0464066,-84.4970393
"20","tulsa golden hurricane","auburn tigers",387000,193500,2,"American","Tulsa, OK",36.1563122,-95.9927516,"SEC","Auburn, AL",32.6405377,-85.4626848
"21","california golden bears","louisville cardinals",385000,385000,1,"Pac-12[n 6]","Berkeley, CA",37.8708393,-122.272863,"ACC","Louisville, KY",38.2542376,-85.759407
"22","georgia state panthers","louisville cardinals",365000,182500,2,"Sun Belt","Atlanta, GA",33.7489924,-84.3902644,"ACC","Louisville, KY",38.2542376,-85.759407
"23","minnesota golden gophers","west virginia mountaineers",345000,345000,1,"Big Ten","Minneapolis, MN",44.9772995,-93.2654692,"Big 12","Morgantown, WV",39.6296809,-79.9559437
"24","stanford cardinal","michigan wolverines",336000,168000,2,"Pac-12[n 6]","Stanford[n 25], CA",37.427467,-122.1702445,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616
"25","michigan wolverines","iowa hawkeyes",281000,140500,2,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616,"Big Ten","Iowa City, IA",41.6612561,-91.5299106
"26","west virginia mountaineers","rice owls",273000,273000,1,"Big 12","Morgantown, WV",39.6296809,-79.9559437,"American","Houston, TX",29.7589382,-95.3676974
"27","old dominion monarchs","memphis tigers",264000,264000,1,"Sun Belt","Norfolk, VA",36.8448348,-76.2863999,"American","Memphis, TN",35.1460249,-90.0517638
"28","auburn tigers","texas state bobcats",261000,261000,1,"SEC","Auburn, AL",32.6405377,-85.4626848,"Sun Belt","San Marcos, TX",29.8826436,-97.9405828
"29","southeastern louisiana lions","minnesota golden gophers",257000,257000,1,"Southland","Hammond, Louisiana",30.5043583,-90.4611995,"Big Ten","Minneapolis, MN",44.9772995,-93.2654692
"30","georgia tech yellow jackets","ole miss rebels",249000,249000,1,"ACC","Atlanta, GA",33.7489924,-84.3902644,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"31","texas longhorns","purdue boilermakers",247000,247000,1,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655
"32","georgia state panthers","usc trojans",241000,241000,1,"Sun Belt","Atlanta, GA",33.7489924,-84.3902644,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"33","florida gators","nebraska cornhuskers",233000,77666.67,3,"SEC","Gainesville, FL",29.6519684,-82.3249846,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"34","boston college eagles","wisconsin badgers",228000,228000,1,"ACC","Chestnut Hill, MA",42.3306529,-71.1661647,"Big Ten","Madison, WI",43.074761,-89.3837613
"35","louisville cardinals","kansas jayhawks",227000,227000,1,"ACC","Louisville, KY",38.2542376,-85.759407,"Big 12","Lawrence, KS",38.9719384,-95.2359496
"36","michigan wolverines","oklahoma sooners",223000,223000,1,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"37","ole miss rebels","ohio state buckeyes",223000,111500,2,"SEC","University[n 18], MS",43.7978613,-79.3919089889469,"Big Ten","Columbus, OH",39.9622601,-83.0007065
"38","liberty flames","ole miss rebels",216000,216000,1,"C-USA","Lynchburg, VA",37.4137536,-79.1422464,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"39","arkansas razorbacks","texas longhorns",210000,210000,1,"SEC","Fayetteville, AR",36.0625843,-94.1574328,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995
"40","virginia cavaliers","nc state wolfpack",208000,208000,1,"ACC","Charlottesville, VA",38.029306,-78.4766781,"ACC","Raleigh, NC",35.7803977,-78.6390989
"41","uc davis aggies","tennessee volunteers",207000,207000,1,"Big Sky","Davis, California",38.5435526,-121.739005,"SEC","Knoxville, TN",35.9603948,-83.9210261
"42","kent state golden flashes","north carolina tar heels",206000,206000,1,"MAC","Kent, OH",41.1513108,-81.3578047,"ACC","Chapel Hill, NC",35.9131542,-79.05578
"43","smu mustangs","wisconsin badgers",204000,204000,1,"American","Dallas[n 23], TX",32.7762719,-96.7968559,"Big Ten","Madison, WI",43.074761,-89.3837613
"44","arkansas razorbacks","south carolina gamecocks",202000,202000,1,"SEC","Fayetteville, AR",36.0625843,-94.1574328,"SEC","Columbia, SC",34.0003117,-81.0331309
"45","pittsburgh panthers","byu cougars",192000,192000,1,"ACC","Pittsburgh[n 21], PA",40.4416941,-79.9900861,"Big 12","Provo, UT",40.2337289,-111.6587085
"46","wake forest demon deacons","texas longhorns",192000,192000,1,"ACC","Winston-Salem, NC",36.0998131,-80.2440518,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995
"47","western kentucky hilltoppers","auburn tigers",192000,192000,1,"C-USA","Bowling Green, KY",36.9903199,-86.4436018,"SEC","Auburn, AL",32.6405377,-85.4626848
"48","notre dame fighting irish","lsu tigers",189000,189000,1,"Independent","South Bend, IN",41.6833813,-86.2500066,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"49","texas state bobcats","boston college eagles",189000,189000,1,"Sun Belt","San Marcos, TX",29.8826436,-97.9405828,"ACC","Chestnut Hill, MA",42.3306529,-71.1661647
"50","washington state cougars","usc trojans",187000,187000,1,"Pac-12","Pullman, WA",46.7304268,-117.173895,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"51","western michigan broncos","florida state seminoles",186000,186000,1,"MAC","Kalamazoo, MI",42.291707,-85.5872286,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"52","san diego state aztecs","ohio state buckeyes",183000,183000,1,"Mountain West","San Diego, CA",32.7174202,-117.1627728,"Big Ten","Columbus, OH",39.9622601,-83.0007065
"53","texas tech red raiders","houston cougars",180000,180000,1,"Big 12","Lubbock, TX",33.5855677,-101.8470215,"Big 12","Houston, TX",29.7589382,-95.3676974
"54","virginia cavaliers","florida state seminoles",179000,179000,1,"ACC","Charlottesville, VA",38.029306,-78.4766781,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"55","oregon ducks","tennessee volunteers",175000,175000,1,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506,"SEC","Knoxville, TN",35.9603948,-83.9210261
"56","north texas mean green","auburn tigers",171000,85500,2,"American","Denton, TX",33.1838787,-97.1413417,"SEC","Auburn, AL",32.6405377,-85.4626848
"57","florida gators","arkansas razorbacks",168000,168000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"SEC","Fayetteville, AR",36.0625843,-94.1574328
"58","georgia bulldogs","alabama crimson tide",163000,163000,1,"SEC","Athens, GA",33.9597677,-83.376398,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258
"59","wyoming cowboys","usc trojans",161000,161000,1,"Mountain West","Laramie, WY",41.311367,-105.591101,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"60","michigan wolverines","northwestern wildcats",160000,160000,1,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616,"Big Ten","Evanston, IL",42.0470043,-87.6846053
"61","lsu tigers","west virginia mountaineers",156000,156000,1,"SEC","Baton Rouge, LA",30.4494155,-91.1869659,"Big 12","Morgantown, WV",39.6296809,-79.9559437
"62","alabama crimson tide","ucf knights",154000,154000,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Big 12","Orlando[n 27], FL",28.5421109,-81.3790304
"63","utah state aggies","cincinnati bearcats",154000,154000,1,"Mountain West","Logan, UT",41.7313063,-111.834914,"Big 12","Cincinnati, OH",39.1014537,-84.5124602
"64","florida state seminoles","kansas state wildcats",152000,152000,1,"ACC","Tallahassee, FL",30.4380832,-84.2809332,"Big 12","Manhattan, KS",39.1836082,-96.5716694
"65","baylor bears","florida gators",143000,143000,1,"Big 12","Waco, TX",31.5491899,-97.1474628,"SEC","Gainesville, FL",29.6519684,-82.3249846
"66","kent state golden flashes","ucf knights",142000,142000,1,"MAC","Kent, OH",41.1513108,-81.3578047,"Big 12","Orlando[n 27], FL",28.5421109,-81.3790304
"67","nebraska cornhuskers","florida atlantic owls",141000,141000,1,"Big Ten","Lincoln, NE",40.8088861,-96.7077751,"American","Boca Raton, FL",26.3586885,-80.0830984
"68","penn state nittany lions","purdue boilermakers",141000,141000,1,"Big Ten","University Park[n 20], PA",34.7406465,-86.6230495,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655
"69","tulsa golden hurricane","georgia southern eagles",141000,141000,1,"American","Tulsa, OK",36.1563122,-95.9927516,"Sun Belt","Statesboro, GA",32.4490141,-81.7832912
"70","indiana hoosiers","michigan wolverines",140000,70000,2,"Big Ten","Bloomington, IN",39.1670396,-86.5342881,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616
"71","michigan state spartans","auburn tigers",139000,139000,1,"Big Ten","East Lansing, MI",42.7320307,-84.4721678,"SEC","Auburn, AL",32.6405377,-85.4626848
"72","ball state cardinals","ucla bruins",138000,138000,1,"MAC","Muncie, IN",40.1936892,-85.3865271,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"73","georgia tech yellow jackets","nebraska cornhuskers",135000,135000,1,"ACC","Atlanta, GA",33.7489924,-84.3902644,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"74","minnesota golden gophers","kansas jayhawks",135000,135000,1,"Big Ten","Minneapolis, MN",44.9772995,-93.2654692,"Big 12","Lawrence, KS",38.9719384,-95.2359496
"75","troy trojans","oregon ducks",134000,134000,1,"Sun Belt","Troy, AL",31.8087678,-85.969951,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"76","lsu tigers","memphis tigers",132000,132000,1,"SEC","Baton Rouge, LA",30.4494155,-91.1869659,"American","Memphis, TN",35.1460249,-90.0517638
"77","lsu tigers","tulane green wave",132000,132000,1,"SEC","Baton Rouge, LA",30.4494155,-91.1869659,"American","New Orleans, LA",29.9759983,-90.0782127
"78","texas longhorns","tennessee volunteers",131000,131000,1,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995,"SEC","Knoxville, TN",35.9603948,-83.9210261
"79","georgia tech yellow jackets","north carolina tar heels",130000,130000,1,"ACC","Atlanta, GA",33.7489924,-84.3902644,"ACC","Chapel Hill, NC",35.9131542,-79.05578
"80","byu cougars","utah utes",129000,129000,1,"Big 12","Provo, UT",40.2337289,-111.6587085,"Pac-12[n 3]","Salt Lake City, UT",40.7596198,-111.886797
"81","florida state seminoles","utah utes",127000,127000,1,"ACC","Tallahassee, FL",30.4380832,-84.2809332,"Pac-12[n 3]","Salt Lake City, UT",40.7596198,-111.886797
"82","ohio state buckeyes","florida gators",126000,126000,1,"Big Ten","Columbus, OH",39.9622601,-83.0007065,"SEC","Gainesville, FL",29.6519684,-82.3249846
"83","mississippi state bulldogs","washington huskies",123000,123000,1,"SEC","Mississippi State[n 14], MS",30.3818646,-89.0439248,"Pac-12[n 19]","Seattle, WA",47.6038321,-122.330062
"84","western michigan broncos","indiana hoosiers",123000,123000,1,"MAC","Kalamazoo, MI",42.291707,-85.5872286,"Big Ten","Bloomington, IN",39.1670396,-86.5342881
"85","texas longhorns","arizona state sun devils",122000,122000,1,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164
"86","california golden bears","ucla bruins",121000,60500,2,"Pac-12[n 6]","Berkeley, CA",37.8708393,-122.272863,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"87","northern illinois huskies","kentucky wildcats",121000,121000,1,"MAC","DeKalb, IL",41.8903447,-88.7713953,"SEC","Lexington, KY",38.0464066,-84.4970393
"88","indiana hoosiers","oklahoma sooners",118000,118000,1,"Big Ten","Bloomington, IN",39.1670396,-86.5342881,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"89","oklahoma state cowboys","ole miss rebels",114000,114000,1,"Big 12","Stillwater, OK",36.1156306,-97.0585717,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"90","oklahoma state cowboys","usc trojans",114000,114000,1,"Big 12","Stillwater, OK",36.1156306,-97.0585717,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"91","arizona state sun devils","cincinnati bearcats",111000,55500,2,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Big 12","Cincinnati, OH",39.1014537,-84.5124602
"92","auburn tigers","florida state seminoles",109000,109000,1,"SEC","Auburn, AL",32.6405377,-85.4626848,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"93","marshall thundering herd","tulane green wave",109000,109000,1,"Sun Belt","Huntington, WV",38.4192496,-82.445154,"American","New Orleans, LA",29.9759983,-90.0782127
"94","syracuse orange","ohio state buckeyes",109000,109000,1,"ACC","Syracuse, NY",43.0481221,-76.1474244,"Big Ten","Columbus, OH",39.9622601,-83.0007065
"95","michigan wolverines","charlotte 49ers",108000,108000,1,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616,"American","Charlotte, NC",35.2272086,-80.8430827
"96","texas longhorns","oklahoma sooners",108000,108000,1,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"97","georgia bulldogs","nebraska cornhuskers",106000,35333.33,3,"SEC","Athens, GA",33.9597677,-83.376398,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"98","maryland terrapins","alabama crimson tide",106000,106000,1,"Big Ten","College Park, MD",38.980666,-76.9369189,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258
"99","tennessee volunteers","uab blazers",105000,105000,1,"SEC","Knoxville, TN",35.9603948,-83.9210261,"American","Birmingham, AL",33.5206824,-86.8024326
"100","north texas mean green","ole miss rebels",103000,103000,1,"American","Denton, TX",33.1838787,-97.1413417,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"101","ole miss rebels","auburn tigers",103000,103000,1,"SEC","University[n 18], MS",43.7978613,-79.3919089889469,"SEC","Auburn, AL",32.6405377,-85.4626848
"102","colorado buffaloes","florida state seminoles",102000,102000,1,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"103","virginia cavaliers","nebraska cornhuskers",101000,101000,1,"ACC","Charlottesville, VA",38.029306,-78.4766781,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"104","vanderbilt commodores","auburn tigers",100000,100000,1,"SEC","Nashville, TN",36.1622767,-86.7742984,"SEC","Auburn, AL",32.6405377,-85.4626848
"105","appalachian state mountaineers","auburn tigers",99000,99000,1,"Sun Belt","Boone, NC",36.2165362,-81.6746158,"SEC","Auburn, AL",32.6405377,-85.4626848
"106","utep miners","florida state seminoles",99000,99000,1,"C-USA","El Paso, TX",31.7550511,-106.488234,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"107","florida gators","cincinnati bearcats",98000,98000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"Big 12","Cincinnati, OH",39.1014537,-84.5124602
"108","mississippi state bulldogs","georgia bulldogs",98000,98000,1,"SEC","Mississippi State[n 14], MS",30.3818646,-89.0439248,"SEC","Athens, GA",33.9597677,-83.376398
"109","wake forest demon deacons","liberty flames",98000,98000,1,"ACC","Winston-Salem, NC",36.0998131,-80.2440518,"C-USA","Lynchburg, VA",37.4137536,-79.1422464
"110","florida gators","usc trojans",95000,95000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"111","alabama crimson tide","florida gators",94000,94000,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"SEC","Gainesville, FL",29.6519684,-82.3249846
"112","missouri tigers","georgia bulldogs",94000,94000,1,"SEC","Columbia, MO",38.951883,-92.3337366,"SEC","Athens, GA",33.9597677,-83.376398
"113","purdue boilermakers","usc trojans",94000,94000,1,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"114","kentucky wildcats","auburn tigers",93000,93000,1,"SEC","Lexington, KY",38.0464066,-84.4970393,"SEC","Auburn, AL",32.6405377,-85.4626848
"115","louisville cardinals","florida gators",93000,93000,1,"ACC","Louisville, KY",38.2542376,-85.759407,"SEC","Gainesville, FL",29.6519684,-82.3249846
"116","unlv rebels","louisville cardinals",93000,93000,1,"Mountain West","Las Vegas[n 29], NV",36.1672559,-115.148516,"ACC","Louisville, KY",38.2542376,-85.759407
"117","kent state golden flashes","penn state nittany lions",92000,92000,1,"MAC","Kent, OH",41.1513108,-81.3578047,"Big Ten","University Park[n 20], PA",34.7406465,-86.6230495
"118","alabama crimson tide","lsu tigers",91000,91000,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"119","oregon ducks","lsu tigers",91000,91000,1,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"120","east carolina pirates","auburn tigers",90000,90000,1,"American","Greenville, NC",35.613224,-77.3724593,"SEC","Auburn, AL",32.6405377,-85.4626848
"121","arizona state sun devils","nebraska cornhuskers",89000,89000,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"122","bucknell bison","georgia state panthers",89000,89000,1,"Patriot","Lewisburg, Pennsylvania",40.9645337,-76.8847639,"Sun Belt","Atlanta, GA",33.7489924,-84.3902644
"123","kansas jayhawks","hawaii rainbow warriors",88000,88000,1,"Big 12","Lawrence, KS",38.9719384,-95.2359496,"Mountain West[n 9]","Honolulu, HI",21.304547,-157.855676
"124","louisville cardinals","ole miss rebels",88000,88000,1,"ACC","Louisville, KY",38.2542376,-85.759407,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"125","maryland terrapins","auburn tigers",88000,88000,1,"Big Ten","College Park, MD",38.980666,-76.9369189,"SEC","Auburn, AL",32.6405377,-85.4626848
"126","syracuse orange","lsu tigers",87000,87000,1,"ACC","Syracuse, NY",43.0481221,-76.1474244,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"127","baylor bears","nebraska cornhuskers",86000,86000,1,"Big 12","Waco, TX",31.5491899,-97.1474628,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
